rank,productName,unitsSold,orderCount,matchedToImport,sku,brand,category
42,standard 3.5 gallon black bucket||Standard Black Bucket lid,27,0,yes,hmh01759,Standard Black,containers_pots
43,NSR Bloom Juice 1 gal,26,0,no,,,
44,B'cuzZ Roxx Rooting Blocks 4 x 4 x 4 42/40mm hole (strip of 6),26,0,yes,hmh00470,Atami,propagation
45,TimeMist Purge I - 3.2 oz,26,0,yes,hmh00559,TimeMist,pest_control
46,B'cuzz HydroGro Substrates - Absorbent Rockwool - 40 lbs. bag,25,0,no,,,
47,Himalaya™ XHO 4' T5 Triphosphor Grow 110W 6500K,25,0,no,,,
48,"F.H.D. Super Saucer 8""",25,0,yes,hmh01190,FHD,containers_pots
49,Mondi Propagation Tray,24,0,yes,506,NGW,propagation
50,Spin Pro Replacement Wires,24,0,no,,,
51,"B'cuzZ Roxx Bimatrix Growing Slab 36 x 6 x 3||B'cuzZ Roxx Rooting Blocks 4 x 4 x 2.5, 42/40mm hole (strip of 6)",24,0,no,,,
52,Grow Big Liquid Plant Food (1 gal),23,0,yes,1679,Nickel City Wholesale Garden Supply,nutrients
53,Royal Black 4 liter,23,0,yes,hmh00306,Nickel City Wholesale Garden Supply,nutrients
54,4 ft laser Drilled Sprayline,23,0,yes,hmh00491,Nickel City Wholesale Garden Supply,irrigation
55,Standard 5 Gallon Black Bucket,23,0,yes,hmh01758,Standard,containers_pots
56,Rapid Rooter replacement plugs 50 count,22,0,no,,,
57,Tiger Bloom Liquid Plant Food (1 gal),22,0,yes,1680,Nickel City Wholesale Garden Supply,nutrients
58,Ruby Ful#$% Gallon,22,0,yes,hmh01460,Nickel City Wholesale Garden Supply,nutrients
59,Better Bloom 500 gm,21,0,yes,1614,Nickel City Wholesale Garden Supply,nutrients
60,WaterFarm Growing chamber - 2 gal,21,0,yes,hmh00504,,irrigation
61,Might Bomb 2 Gal. Conerntrate,20,0,no,,,
62,"Mondi Super Saucer 12""||Mondi Super Saucer 10""",20,0,yes,hmh01191,Nickel City Wholesale Garden Supply,containers_pots
63,Doktor Doom Total Fogger 3 oz,19,0,yes,hmh00547,Doktor Doom,pest_control
64,ONA Pro Block 6oz,19,0,yes,hmh01106,NGW,odor_control
65,Prop-O-Gator 1 liter,19,0,yes,1856,System,Nutrients
66,Lightning Start Quart,19,0,no,,,
67,4' Laser Sprayline,19,0,yes,hmh00825,Nickel City Wholesale Garden Supply,irrigation
68,Flora Bloom 1 gal,18,0,yes,hmh00183,Nickel City Wholesale Garden Supply,nutrients
69,Equinox Gallon,18,0,yes,hmh01452,Nickel City Wholesale Garden Supply,nutrients
70,NSR Grow Juice 2-1-3/ 1 gal,18,0,no,,,
71,pH Down 1 qt,17,0,no,,,
72,Flora Bloom 1 qt,17,0,yes,hmh00183,Nickel City Wholesale Garden Supply,nutrients
73,Doktor Doom Total Fogger 5.5 oz,17,0,yes,hmh00547,Doktor Doom,pest_control
74,CocoTek Caps 6 in. Cap (10 per case),17,0,no,,,
75,Holland Secret Bloom 1 L,16,0,yes,hmh00296,Nickel City Wholesale Garden Supply,nutrients
76,Holland Secret Starter Pack,16,0,yes,hmh01486,Holland Secret,nutrients
77,Liquid Ton-O-Bud 1L,16,0,yes,hmh01850,Liquid,nutrients
78,Ton O Bud 1 kg,16,0,yes,2289,Ton,nutrients
79,B'cuzZ Roxx Bimatrix Growing Slab 36 x 6 x 3,16,0,yes,hmh00475,Atami,grow_media
80,B'cuzZ Roxx Bimatrix Growing Slab 36 x 6 x 3||B'cuzZ Roxx Rooting Blocks 4 x 4 x 4 42/40mm hole (strip of 6),16,0,no,,,
81,B'cuzZ Roxx Bimatrix Growing Slab 40 x 6 x 3,16,0,yes,hmh00477,Atami,grow_media
82,FloraGro 1 qt,15,0,yes,hmh00178,Nickel City Wholesale Garden Supply,nutrients
83,NSR Boost Juice 1 qt,15,0,no,,,
84,Bud Candy (1 gal),15,0,yes,hmh01031,Advanced Nutrients,nutrients
85,Super B+ 1 liter,15,0,no,,,
86,Jungle Green 500 gm,15,0,yes,1616,Nickel City Wholesale Garden Supply,nutrients
87,Mini Blocks 1.5 x 1.5 x 1.5,15,0,no,,,
88,"6"" Net Pot",15,0,yes,hmh01323,Nickel City Wholesale Garden Supply,containers_pots
89,Energy Station Growing system 1000 W Digital D/E These ballasts,15,0,no,,,
90,6 ft laser Drilled Sprayline,15,0,yes,hmh00491,Nickel City Wholesale Garden Supply,irrigation
91,"BADBOY HO T-5 4 ft Triphosphor Grow 54 W, 6500 K",15,0,yes,hmh01730,Plantmax,grow_lights
92,Standard Black Bucket lid,15,0,yes,hmh01759,Standard Black,containers_pots
93,Miniblocks 1.5 x 1.5 x 1.5,14,0,no,,,
94,Ton O Bud 100 gm,14,0,yes,hmh00336,Ton,nutrients
95,EcoPlus 185 GPH,14,0,yes,913,NGW,irrigation
96,Autumn Quart,14,0,no,,,
97,Quick Roots Gel 2 oz,13,0,yes,hmh00323,Quick Roots,nutrients
98,Hydroton 9L Bag,13,0,no,,,
99,Clonex Clone Kit,13,0,no,,,
100,AquaSpinners,13,0,yes,hmh01199,,irrigation
