Handle,Status,Notes
bloom-natural-2-5-gal,draft,Replaced by bloom-natural
bloom-natural-5-gal,draft,Replaced by bloom-natural
bloom-natural-15-gal,draft,Replaced by bloom-natural
hum-bolt-1-qt,draft,Replaced by hum-bolt
hum-bolt-1-gal,draft,Replaced by hum-bolt
hum-bolt-2-5-gal,draft,Replaced by hum-bolt
flavor-ful-1-qt,draft,Replaced by flavor-ful
flavor-ful-1-gal,draft,Replaced by flavor-ful
flavor-ful-2-5-gal,draft,Replaced by flavor-ful
flavor-ful-5-gal,draft,Replaced by flavor-ful
verde-growth-catalyst,draft,Replaced by verde-growth-catalyst-bundle
humboldt-oneness-1-qt,draft,Replaced by oneness-5-9-4
humboldt-oneness-1-gal,draft,Replaced by oneness-5-9-4
humboldt-oneness-2-5-gal,draft,Replaced by oneness-5-9-4
humboldt-oneness-5-gal,draft,Replaced by oneness-5-9-4
humboldt-oneness-15-gal,draft,Replaced by oneness-5-9-4
mayan-microzyme1-gal,draft,Replaced by mayan-microzyme
mayan-microzyme1-gal-2,draft,Replaced by mayan-microzyme
mayan-microzyme-4-oz,draft,Replaced by mayan-microzyme
mayan-microzyme-16-oz,draft,Replaced by mayan-microzyme
mayan-microzyme-8-oz,draft,Replaced by mayan-microzyme
mayan-microzyme-1-qt,draft,Replaced by mayan-microzyme
prozyme-1-qt,draft,Replaced by prozyme
myco-madness-soluble-4-oz,draft,Replaced by myco-madness-soluble
myco-madness-soluble-8-oz,draft,Replaced by myco-madness-soluble
myco-madness-soluble-1-lb,draft,Replaced by myco-madness-soluble
myco-madness-soluble-5-lbs,draft,Replaced by myco-madness-soluble
myco-maximum-granular-8-oz,draft,Replaced by myco-maximum-granular
myco-maximum-granular-1-lb,draft,Replaced by myco-maximum-granular
myco-maximum-granular-5-lbs,draft,Replaced by myco-maximum-granular
humboldt-honey-hydro-carbs-1-qt,draft,Replaced by humboldt-honey-hydro-carbs
humboldt-honey-hydro-carbs-1-gal,draft,Replaced by humboldt-honey-hydro-carbs
humboldt-honey-hydro-carbs-2-5-gal,draft,Replaced by humboldt-honey-hydro-carbs
humboldt-honey-es-1-qt,draft,Replaced by humboldt-honey-es
humboldt-honey-es-1-gal,draft,Replaced by humboldt-honey-es
humboldt-honey-es-5-gal,draft,Replaced by humboldt-honey-es
humboldt-roots-50-ml,draft,Replaced by humboldt-roots
humboldt-roots-125-ml,draft,Replaced by humboldt-roots
humboldt-roots-250-ml,draft,Replaced by humboldt-roots
humboldt-roots-500-ml,draft,Replaced by humboldt-roots
humboldt-sticky-foliar-feed-16-oz,draft,Replaced by humboldt-sticky-foliar-feed
humboldt-sticky-foliar-feed-1-qt,draft,Replaced by humboldt-sticky-foliar-feed
mykos-30-mycorrhizal-inoculant-2-2-lb,draft,Replaced by mykos-mycorrhizal-inoculant-granular
calcarb-calcium-carbonate-foliar-spray-6-oz,draft,Replaced by calcarb-calcium-carbonate-foliar-spray
calcarb-calcium-carbonate-foliar-spray-12-oz,draft,Replaced by calcarb-calcium-carbonate-foliar-spray
basic-600w-hps-ballast,draft,Replaced by basic-magnetic-ballast
basic-1000w-mh-hps-switchable-ballast,draft,Replaced by basic-magnetic-ballast
socket-set-w-15-cord,draft,Replaced by basic-magnetic-ballast
ultragrow-cool-tube,draft,Replaced by ultragrow-cool-tube-bundle
ona-block-crystal-6oz,draft,Replaced by ona-block
ona-pro-block-6oz,draft,Replaced by ona-block
ona-liquid-polar-crystal-1-qt,draft,Replaced by ona-liquid
ona-liquid-polar-crystal-1-gal,draft,Replaced by ona-liquid
ona-gel-fresh-linen-1-qt,draft,Replaced by ona-gel
ona-gel-fresh-linen-1-gal,draft,Replaced by ona-gel
ona-gel-fresh-linen-bucket-5-gal,draft,Replaced by ona-gel
ona-pro-gel-1-qt,draft,Replaced by ona-gel
ona-pro-gel-1-gal,draft,Replaced by ona-gel
ona-pro-gel-bucket-5-gal,draft,Replaced by ona-gel
ona-pro-gel-pail-1-gal,draft,Replaced by ona-gel
ona-gel-fresh-linen-pail-1gal,draft,Replaced by ona-gel
ona-mist-dispenser,draft,Replaced by ona-mist
ona-mist-polar-crystal-6oz,draft,Replaced by ona-mist
ona-mist-fresh-linen-mist-6oz,draft,Replaced by ona-mist
doktor-doom-total-fogger-5-5-oz,draft,Replaced by doktor-doom-fogger
plantacillin-1-liter,draft,Replaced by plantacillin
zero-tolerance-pest-control-gal,draft,Replaced by ed-rosenthals-zero-tolerance-herbal-pesticide-fungicide
timemist-plus-programmable-dispenser-2,draft,Replaced by timemist-plus-programmable-dispenser
timemist-purge-i-3-2-oz,draft,Replaced by timemist-plus-programmable-dispenser
garden-fungicide-32-oz,draft,Replaced by safer-garden-fungicide-32oz-rtu-spray
garden-fungicide-1-gal,draft,Replaced by safer-garden-fungicide-32oz-rtu-spray
block-ir-4-x-25-roll,draft,Replaced by block-ir-infra-red-barrier
block-ir-4-x-50-roll,draft,Replaced by block-ir-infra-red-barrier
block-ir-4-x-100-roll,draft,Replaced by block-ir-infra-red-barrier
miniblocks-1-5-x-1-5-x-1-5-6-15mm-hole98-plugs-per-matt,draft,Replaced by bcuzz-roxx-propagation-trays-and-matts
bcuzz-roxx-rooting-blocks-4-x-4-x-2-5-42-40mm-hole-strip-of-6,draft,Replaced by bcuzz-roxx-rooting-blocks
bcuzz-roxx-rooting-blocks-4-x-4-x-4-no-hole-strip-of-6,draft,Replaced by bcuzz-roxx-rooting-blocks
bcuzz-roxx-bimatrix-growing-slab-36-x-6-x-3,draft,Replaced by bcuzz-roxx-bimatrix-growing-slabs
bcuzz-roxx-bimatrix-growing-slab-40-x-6-x-3,draft,Replaced by bcuzz-roxx-bimatrix-growing-slabs
tnc-1-4-hp-1250-gph,draft,Replaced by tnc-water-pump
40-micron-filter-for-tnc-pump,draft,Replaced by tnc-water-pump
mag-drive-2-pump-250-gph,draft,Replaced by mag-drive-pumps
mag-drive-3-pump-350-gph,draft,Replaced by mag-drive-pumps
mag-drive-7-pump-700-gph,draft,Replaced by mag-drive-pumps
mag-drive-pump-filter,draft,Replaced by mag-drive-pumps
1mm-thick-25-mylar-roll,draft,Replaced by reflective-mylar-rolls
2mm-thick-25-mylar-roll,draft,Replaced by reflective-mylar-rolls
1mm-thick-50-mylar-roll,draft,Replaced by reflective-mylar-rolls
1mm-thick-100-mylar-roll,draft,Replaced by reflective-mylar-rolls
2mm-thick-50-mylar-roll,draft,Replaced by reflective-mylar-rolls
2mm-thick-100-mylar-roll,draft,Replaced by reflective-mylar-rolls
1-4-in-tubing-blue-500-ft-roll,draft,Replaced by accessories-components
1-4-in-tubing-black-500-ft-roll,draft,Replaced by accessories-components
1-2-in-tubing-neutral-250-ft-roll,draft,Replaced by accessories-components
3-8-in-tubing-white-500-ft-roll,draft,Replaced by accessories-components
3-8-in-tubing-blue-500-ft-roll,draft,Replaced by accessories-components
1-4-in-qc-stealth-small-boy,draft,Replaced by accessories-components
float-valve-3-8-in-qc-tall-boy,draft,Replaced by accessories-components
float-kit-merlin-garden-pro,draft,Replaced by accessories-components
union-connector-3-8-in,draft,Replaced by accessories-components
two-way-splitter-3-8-in,draft,Replaced by accessories-components
union-connector-1-4-in,draft,Replaced by accessories-components
tall-boy-blue-sediment-replacement,draft,Replaced by accessories-components
tall-boy-blue-carbon-replacement-filter,draft,Replaced by accessories-components
small-boy-sediment-replacement,draft,Replaced by accessories-components
small-boy-carbon-replacement-filter,draft,Replaced by accessories-components
stealth-ro-100-200-sediment-filter,draft,Replaced by accessories-components
stealth-ro-100-200-carbon-filter,draft,Replaced by accessories-components
stealth-ro-100-200-membrane-filter,draft,Replaced by accessories-components
stealth-ro-100-200-pressure-booster-pump,draft,Replaced by accessories-components
big-boy-carbon-filter,draft,Replaced by accessories-components
big-boy-pleated-sediment-filter-cleanable,draft,Replaced by accessories-components
big-boy-kdf-85-carbon-filter-well-water-chloramines,draft,Replaced by accessories-components
8oz-electrode-storage-solution,draft,Replaced by green-air-genesis-calibration-solutions
8-oz-twin-pack-electrode-cleaning-solution-a-b,draft,Replaced by green-air-genesis-calibration-solutions
ph-4-01-16-oz,draft,Replaced by green-air-genesis-calibration-solutions
ph-7-0-16-oz,draft,Replaced by green-air-genesis-calibration-solutions
ppm-1500-tds-2-142-ms-8-oz,draft,Replaced by green-air-genesis-calibration-solutions
ppm-1500-tds-2-142-ms-16-oz,draft,Replaced by green-air-genesis-calibration-solutions
tds-3-handheld-meter-with-carrying-case-2,draft,Replaced by tds-3-handheld-meter-with-carrying-case
3-pack-1-5-v-batteries-for-hm-digital-meters,draft,Replaced by tds-3-handheld-meter-with-carrying-case
com-100-waterproof-ec-tds-temp-combo-meter-2,draft,Replaced by com-100-waterproof-ec-tds-temp-combo-meter
ph-200-waterproof-ph-meter-2,draft,Replaced by ph-200-waterproof-ph-meter
ph-up-8-oz,draft,Replaced by ph-calibration-solutions
ph-up-1-qt,draft,Replaced by ph-calibration-solutions
ph-up-1-gal,draft,Replaced by ph-calibration-solutions
ph-up-dry-1-5-lb,draft,Replaced by ph-calibration-solutions
ph-up-dry-16-lb,draft,Replaced by ph-calibration-solutions
ph-down-8-oz,draft,Replaced by ph-calibration-solutions
ph-down-1-qt,draft,Replaced by ph-calibration-solutions
ph-down-1-gal,draft,Replaced by ph-calibration-solutions
ph-down-dry-1-5-lb,draft,Replaced by ph-calibration-solutions
ph-4-01-calibration-solution-8-oz,draft,Replaced by ph-calibration-solutions
ph-4-01-calibration-solution-qt,draft,Replaced by ph-calibration-solutions
ph-7-0-calibration-solution-8-oz,draft,Replaced by ph-calibration-solutions
ph-7-0-calibration-solution-qt,draft,Replaced by ph-calibration-solutions
1500-ppm-calibration-solution-8-oz,draft,Replaced by ph-calibration-solutions
ph-test-kit-1-oz,draft,Replaced by ph-calibration-solutions
ph-test-indicator-8-oz,draft,Replaced by ph-calibration-solutions
control-wizard-accurate-handheld-ph3-meter,draft,Replaced by control-wizard-accurate-ph3
replacemnt-probe-for-control-wizard-accurate-ph3-meter,draft,Replaced by control-wizard-accurate-ph3
430-sodium-son-agro-54000-lumens,draft,Replaced by philips-lighting
1000-w-hps-alto-agrolite-xt-140000-lumens,draft,Replaced by philips-lighting
pulse-start-metal-halide-7000k-for-vegative-growth,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-metal-halide-10000k-for-final-flowering,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-metal-halide-10000k-for-final-flowering-2,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-m-h-600w-3000k-for-flowering-growth,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-m-h-600w-3000k-for-flowering-growth-2,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-m-h-600w-3000k-for-flowering-growth-3,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-m-h-1000w-10000k-for-final-flowering,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-m-h-1000w-3000k-for-flowering-growth,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-m-h-1000w-7000k-for-vegative-growth,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-m-h-600w-10000k-for-final-flowering,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
pulse-start-m-h-600w-7000k-for-vegative-growth,draft,Replaced by plantmax-pulse-start-metal-halide-lamps
badboy-ho-t-5-triphosphor-bloom-54w-2900k,draft,Replaced by badboy-ho-triphosphor-lamps
badboy-ho-t-5-4-ft-triphosphor-grow-54-w-6500-k-2,draft,Replaced by badboy-ho-triphosphor-lamps
8-pack-of-badboy-ho-t-5-4-ft-triphosphor-bloom-2,draft,Replaced by badboy-ho-triphosphor-lamps
badboy-ho-t-5-4-ft-triphosphor-bloom-54-w-2900-k,draft,Replaced by badboy-ho-triphosphor-lamps
plantmax-150w-hps-high-output-16000-lumens,draft,Replaced by plantmax-super-high-pressure-sodium
plantmax-250w-hps-high-output-29000-lumens,draft,Replaced by plantmax-super-high-pressure-sodium
plantmax-400w-hps-high-output-50000-lumens,draft,Replaced by plantmax-super-high-pressure-sodium
plantmax-430w-hps-high-output-58000-lumens,draft,Replaced by plantmax-super-high-pressure-sodium
plantmax-600w-hps-high-output-90000-lumens,draft,Replaced by plantmax-super-high-pressure-sodium
plantmax-750w-hps-high-output-106000-lumens,draft,Replaced by plantmax-super-high-pressure-sodium
plantmax-220w-hps-conversion-25000-lumens,draft,Replaced by plantmax-hps-conversion-mh-ballast
plantmax-360w-hps-conversion-45000-lumens,draft,Replaced by plantmax-hps-conversion-mh-ballast
plantmax-940w-hps-conversion-130000-lumens,draft,Replaced by plantmax-hps-conversion-mh-ballast
plantmax-250w-mh-conversion,draft,Replaced by plantmax-mh-conversion-hps-ballast
plantmax-400w-mh-conversion-36000-lumens,draft,Replaced by plantmax-mh-conversion-hps-ballast
plantmax-600w-mh-conversion-57000-lumens,draft,Replaced by plantmax-mh-conversion-hps-ballast
plantmax-1000w-mh-conversion-110000-lumens,draft,Replaced by plantmax-mh-conversion-hps-ballast
solarmax-400w-mht-veg-conversion-w-32000-lumens,draft,Replaced by vegetative-hps-ballast
solarmax-600w-mht-veg-conversion-w-55000-lumens,draft,Replaced by vegetative-hps-ballast
solarmax-1000w-mht-veg-conversion-w-90000-lumens,draft,Replaced by vegetative-hps-ballast
solarmax-400w-mht-metal-halide-veg-32000-lumens,draft,Replaced by vegetative-mh-ballast
smmh1000wv-solarmax-1000w-mht-metal-hailde-veg-85000-lumens,draft,Replaced by vegetative-mh-ballast
solarmax-400w-mh-gold-36000-lumens,draft,Replaced by all-phase-high-output-metal-halide-horticultural-lamp
light-rail-5-motor-crossbar-8-rail,draft,Replaced by light-rail-5
light-rail-5-crossbar-mounting-kit,draft,Replaced by light-rail-5
light-rail-5-4ft-auxilary-rail,draft,Replaced by light-rail-5
6-ft-rail-only,draft,Replaced by light-rail-accessories
robo-stick-lamp-stabilizer,draft,Replaced by light-rail-accessories
3-ft-extender-rail-a-3-foot-section-of-rail-to-extend-a-6-ft-section-into-a-9-ft,draft,Replaced by light-rail-accessories
drive-wheel-o-ring-kit-tension-spring-o-ring-nut-bolt,draft,Replaced by light-rail-accessories
trolley-wheel-replacement-kit,draft,Replaced by light-rail-accessories
