key,sku,handle,title,categories,primary_category,brand,source_files
"handle:ionic-coco-bloom-soil-hydro-qt","","ionic-coco-bloom-soil-hydro-qt","Ionic Coco Bloom Soil/hydro Qt.","grow_media; nutrients","nutrients","Unknown","master_grow_media.csv; master_nutrients.csv"
"handle:ionic-coco-grow-soil-hydro-qt","","ionic-coco-grow-soil-hydro-qt","Ionic Coco Grow Soil/Hydro Qt","grow_media; nutrients","nutrients","Unknown","master_grow_media.csv; master_nutrients.csv"
"handle:ionic-coco-grow-soil-hydro-gal","","ionic-coco-grow-soil-hydro-gal","Ionic Coco Grow Soil/Hydro Gal.","grow_media; nutrients","nutrients","Unknown","master_grow_media.csv; master_nutrients.csv"
"handle:ionic-coco-bloom-soil-hydro-gal","","ionic-coco-bloom-soil-hydro-gal","Ionic Coco Bloom Soil/hydro Gal","grow_media; nutrients","nutrients","Unknown","master_grow_media.csv; master_nutrients.csv"
"handle:bcuzz-coco-nutrition-componet-b-1l","","bcuzz-coco-nutrition-componet-b-1l","B'Cuzz CoCo Nutrition Componet B 1L","grow_media; nutrients","nutrients","Unknown","master_grow_media.csv; master_nutrients.csv"
"handle:bcuzz-coco-nutrition-componet-b-5l","","bcuzz-coco-nutrition-componet-b-5l","B'Cuzz CoCo Nutrition Componet B 5L","grow_media; nutrients","nutrients","Unknown","master_grow_media.csv; master_nutrients.csv"
"handle:bcuzz-coco-nutrition-componet-a-1l","","bcuzz-coco-nutrition-componet-a-1l","B'Cuzz CoCo Nutrition Componet A 1L","grow_media; nutrients","nutrients","Unknown","master_grow_media.csv; master_nutrients.csv"
"handle:bcuzz-coco-nutrition-componet-a-5l","","bcuzz-coco-nutrition-componet-a-5l","B'Cuzz CoCo Nutrition Componet A 5L","grow_media; nutrients","nutrients","Unknown","master_grow_media.csv; master_nutrients.csv"
"handle:hydro-logic-evolution-ro1000-1000-gpd","","hydro-logic-evolution-ro1000-1000-gpd","Hydro-Logic® Evolution RO1000™ - 1000 GPD","irrigation; odor_control","irrigation","H Moon Hydro","master_irrigation.csv; master_odor_control.csv"
"handle:8-in-hose-clamps","hmh00805","8-in-hose-clamps","8 in. hose clamps","irrigation; ventilation_accessories","irrigation","H Moon Hydro","master_irrigation.csv; master_ventilation_accessories.csv"
"handle:6-in-hose-clamps","hmh00804","6-in-hose-clamps","6 in. hose clamps","irrigation; ventilation_accessories","irrigation","H Moon Hydro","master_irrigation.csv; master_ventilation_accessories.csv"
"handle:4-in-hose-clamps","hmh00803","4-in-hose-clamps","4 in. hose clamps","irrigation; ventilation_accessories","irrigation","H Moon Hydro","master_irrigation.csv; master_ventilation_accessories.csv"
"handle:12-in-hose-clamps","hmh01327","12-in-hose-clamps","12 in. hose clamps","irrigation; ventilation_accessories","irrigation","H Moon Hydro","master_irrigation.csv; master_ventilation_accessories.csv"
"handle:10-in-hose-clamps","hmh01326","10-in-hose-clamps","10 in. hose clamps","irrigation; ventilation_accessories","irrigation","H Moon Hydro","master_irrigation.csv; master_ventilation_accessories.csv"
"handle:1-2-in-elbow-barbed-bag-of-50","hmh00827","1-2-in-elbow-barbed-bag-of-50","1/2 in. Elbow Barbed (bag of 50)","irrigation; ventilation_accessories","irrigation","H Moon Hydro","master_irrigation.csv; master_ventilation_accessories.csv"
"sku:833","833","360-aeroponic-sprayer-for-ez-clone-machine","360 Aeroponic Sprayer for EZ Clone Machine","irrigation; propagation","propagation","EZ Clone","master_irrigation.csv; master_propagation.csv"
"handle:ph-up-dry-1-5-lb","hmh00982","ph-up-dry-1-5-lb","pH Up Dry 1.5 lb","nutrients; ph_meters","nutrients","H Moon Hydro","master_nutrients.csv; master_ph_meters.csv"
"handle:ph-down-8-oz","hmh00985","ph-down-8-oz","pH Down 8 oz.","nutrients; ph_meters","nutrients","H Moon Hydro","master_nutrients.csv; master_ph_meters.csv"
"handle:ph-up-dry-16-lb","hmh00984","ph-up-dry-16-lb","pH Up Dry 16 lb","nutrients; ph_meters","nutrients","H Moon Hydro","master_nutrients.csv; master_ph_meters.csv"
"handle:ph-down-dry-1-5-lb","hmh00988","ph-down-dry-1-5-lb","pH Down Dry 1.5 lb","nutrients; ph_meters","nutrients","H Moon Hydro","master_nutrients.csv; master_ph_meters.csv"
"handle:ph-down-1-qt","hmh00986","ph-down-1-qt","pH Down 1 qt","nutrients; ph_meters","nutrients","H Moon Hydro","master_nutrients.csv; master_ph_meters.csv"
"handle:clonex-solution-32oz","hmh01356","clonex-solution-32oz","Clonex Solution 32oz","nutrients; propagation","nutrients","Clonex","master_nutrients.csv; master_propagation.csv"
"handle:clonex-mycorrhizae-root-maximizer-4-oz-soluble","hmh01749","clonex-mycorrhizae-root-maximizer-4-oz-soluble","Clonex Mycorrhizae Root Maximizer 4 OZ Soluble","nutrients; propagation","nutrients","Clonex","master_nutrients.csv; master_propagation.csv"
"handle:clonex-mycorrhizae-root-maximizer-8-oz-soluble","hmh01750","clonex-mycorrhizae-root-maximizer-8-oz-soluble","Clonex Mycorrhizae Root Maximizer 8 OZ Soluble","nutrients; propagation","nutrients","Clonex","master_nutrients.csv; master_propagation.csv"
"handle:clonex-mycorrhizae-root-maximizer-4-oz-soluble-2","hmh01752","clonex-mycorrhizae-root-maximizer-4-oz-soluble-2","Clonex Mycorrhizae Root Maximizer 4 OZ Soluble","nutrients; propagation","nutrients","Clonex","master_nutrients.csv; master_propagation.csv"
"handle:clonex-mycorrhizae-root-maximizer-8-oz-soluble-2","hmh01753","clonex-mycorrhizae-root-maximizer-8-oz-soluble-2","Clonex Mycorrhizae Root Maximizer 8 OZ Soluble","nutrients; propagation","nutrients","Clonex","master_nutrients.csv; master_propagation.csv"
"handle:clonex-mycorrhizae-root-maximizer-1-pound-soluble","hmh01754","clonex-mycorrhizae-root-maximizer-1-pound-soluble","Clonex Mycorrhizae Root Maximizer 1 pound Soluble","nutrients; propagation","nutrients","Clonex","master_nutrients.csv; master_propagation.csv"
